Epochs, Classification Accuracy, Training MSE
1,0.08490566037735849,0.9437126338407603
2,0.08355795148247978,0.9162849412874225
3,0.08490566037735849,0.9159514364818054
4,0.0862533692722372,0.9157473930935641
5,0.0862533692722372,0.9155867313621185
6,0.0876010781671159,0.9153894186817216
7,0.0876010781671159,0.9144329736228006
8,0.08355795148247978,0.9125694476758315
9,0.09029649595687332,0.9096769280436008
10,0.11859838274932614,0.9042427710015333
11,0.16037735849056603,0.8946123768690161
12,0.18733153638814015,0.8800204461298246
13,0.20350404312668463,0.8637344438482559
14,0.2223719676549865,0.8497253453063447
15,0.2398921832884097,0.83852801279754
16,0.2668463611859838,0.828737655189389
17,0.29380053908355797,0.8193078910271633
18,0.30997304582210244,0.8085979536962781
19,0.3274932614555256,0.7961871638310674
20,0.33827493261455527,0.7838206614194934
21,0.3557951482479784,0.7718462455069414
22,0.36522911051212936,0.760765742573853
23,0.37870619946091644,0.7510391304719978
24,0.37870619946091644,0.7420591824464323
25,0.3935309973045822,0.7341556033539679
26,0.40431266846361186,0.7272409149393867
27,0.4137466307277628,0.7204354135154385
28,0.4191374663072776,0.7141675028414132
29,0.42318059299191374,0.7081554588602733
30,0.42587601078167114,0.7023468624865719
31,0.42452830188679247,0.6966172768411272
32,0.4393530997304582,0.6908426249195159
33,0.44609164420485176,0.6854950234392854
34,0.4528301886792453,0.6805935007983004
35,0.4555256064690027,0.6764677937234863
36,0.4636118598382749,0.6699805378452997
37,0.46900269541778977,0.6645163035000584
38,0.4838274932614555,0.6587789238798415
39,0.5026954177897575,0.6534259172583782
40,0.5121293800539084,0.6488694365929526
41,0.5080862533692723,0.6443644895315795
42,0.5242587601078167,0.6393956928892335
43,0.5336927223719676,0.6348727400906022
44,0.532345013477089,0.6321201891756703
45,0.5417789757412399,0.6290927032573644
46,0.532345013477089,0.629517662082452
47,0.5390835579514824,0.6230994164021342
48,0.5417789757412399,0.6191352097321601
49,0.5363881401617251,0.6140304055188271
50,0.5404312668463612,0.6104737560356615
51,0.5471698113207547,0.6064741453393762
52,0.5539083557951483,0.6018712919757438
53,0.5633423180592992,0.5941362050583513
54,0.5660377358490566,0.5946484671671922
55,0.568733153638814,0.5907141277261934
56,0.5754716981132075,0.5869210820711036
57,0.578167115902965,0.5813741269702765
58,0.5835579514824798,0.5846043107547927
59,0.5808625336927223,0.5849995853453263
60,0.5889487870619946,0.5809241914533122
61,0.5889487870619946,0.5790204980728207
62,0.5956873315363881,0.5733603718851283
63,0.5929919137466307,0.5723394572397369
64,0.5916442048517521,0.5685197581794774
65,0.5889487870619946,0.5614776782541425
66,0.5876010781671159,0.5598922965308616
67,0.6091644204851752,0.5555161695754512
