Epochs, Classification Accuracy, Training MSE
1,0.0862533692722372,0.9313967808202179
2,0.10377358490566038,0.9105820405588737
3,0.1752021563342318,0.8702470650230456
4,0.22371967654986524,0.8343312935578443
5,0.27358490566037735,0.814617881522673
6,0.3274932614555256,0.7913097347601854
7,0.35714285714285715,0.7673239658098618
8,0.3935309973045822,0.7444884827108345
9,0.4164420485175202,0.7224371484289951
10,0.44609164420485176,0.7021702381280641
11,0.46495956873315364,0.6838935937802724
12,0.48517520215633425,0.6666825797001767
13,0.5107816711590296,0.6497588115543316
14,0.5309973045822103,0.6329696840682619
15,0.5444743935309974,0.6166381075125593
16,0.5700808625336927,0.6012316797227917
17,0.5835579514824798,0.5870237723937646
18,0.5997304582210242,0.573995249554988
19,0.6091644204851752,0.5619299665757297
20,0.6132075471698113,0.5505447303718045
21,0.628032345013477,0.539589679232024
22,0.6361185983827493,0.5289055374987189
23,0.6415094339622641,0.5184361025754545
24,0.6495956873315364,0.5081993146028808
25,0.6536388140161725,0.498246478590361
26,0.6549865229110512,0.4886365709503202
27,0.6698113207547169,0.47942156189956336
28,0.683288409703504,0.47063696179736597
29,0.6873315363881402,0.46229966037772974
30,0.692722371967655,0.454410027350003
31,0.7035040431266847,0.4469540868215744
32,0.706199460916442,0.4399060389563507
33,0.7115902964959568,0.43323208114735057
34,0.715633423180593,0.4268958555047298
35,0.7250673854447439,0.42086332019543576
36,0.7304582210242587,0.4151046759276538
37,0.7318059299191375,0.4095944862995337
38,0.7371967654986523,0.40431188084864855
39,0.7425876010781671,0.3992408388136854
40,0.7466307277628033,0.39436970716225545
41,0.7506738544474394,0.3896894075344825
42,0.7587601078167115,0.3851898278818872
43,0.7587601078167115,0.380854309437333
44,0.7654986522911051,0.37665645806122666
45,0.7681940700808625,0.3725707995805046
46,0.7735849056603774,0.36859184641990594
47,0.7735849056603774,0.364728484290744
48,0.7735849056603774,0.3609832374500157
49,0.7749326145552561,0.35734758765924424
50,0.7816711590296496,0.3538064225696604
51,0.7816711590296496,0.35034273475017313
52,0.7803234501347709,0.346942144050675
53,0.7857142857142857,0.34359534947942133
54,0.7884097035040432,0.3402971079318759
55,0.7951482479784366,0.33704334083824056
56,0.7964959568733153,0.3338291711281343
57,0.7978436657681941,0.33064909540181875
58,0.8005390835579514,0.32749813748812295
59,0.8018867924528302,0.32437279650079515
60,0.8059299191374663,0.32127169839226305
61,0.8140161725067385,0.3181959684377936
62,0.816711590296496,0.3151492682470465
63,0.8194070080862533,0.3121376627170016
64,0.8194070080862533,0.30916929007758487
65,0.8221024258760108,0.3062533434461572
66,0.8221024258760108,0.30339793237140344
67,0.8247978436657682,0.30060682209852185
68,0.8288409703504043,0.2978751725601284
69,0.8301886792452831,0.2951871830066059
70,0.8301886792452831,0.2925256853633114
71,0.8315363881401617,0.28989982974116046
72,0.8328840970350404,0.287352995174178
73,0.8328840970350404,0.2848552329287171
74,0.8382749326145552,0.28216319683800645
