Epochs, Classification Accuracy, Training MSE
1,0.09568733153638814,0.929921373089984
2,0.11320754716981132,0.910021737382112
3,0.1752021563342318,0.8827352269721769
4,0.22371967654986524,0.8352295003787126
5,0.26549865229110514,0.8148364333684859
6,0.29514824797843664,0.8002211941598768
7,0.316711590296496,0.7839761973706696
8,0.3490566037735849,0.7663529007952123
9,0.37331536388140163,0.7490652313795547
10,0.3935309973045822,0.7328684126885211
11,0.40970350404312667,0.7181411737758127
12,0.4299191374663073,0.7050257370752017
13,0.44609164420485176,0.6932571956315694
14,0.4582210242587601,0.6823909717879905
15,0.4784366576819407,0.6720300674182546
16,0.49595687331536387,0.6618739432329772
17,0.5067385444743935,0.6518054580138058
18,0.5242587601078167,0.641833738494791
19,0.5336927223719676,0.6317903694304796
20,0.5296495956873315,0.6218780277590923
21,0.5404312668463612,0.6120766779726151
22,0.5525606469002695,0.6024159105485684
23,0.5633423180592992,0.5931535559666835
24,0.5700808625336927,0.5844474653530798
25,0.5768194070080862,0.57623030265634
26,0.5902964959568733,0.5684831065302647
27,0.5943396226415094,0.5611440118241775
28,0.6037735849056604,0.5541528668746041
29,0.610512129380054,0.5474721560949818
30,0.6172506738544474,0.5410726248477828
31,0.6199460916442049,0.5348344073017325
32,0.6226415094339622,0.5287844093281233
33,0.6226415094339622,0.5230435619640977
34,0.633423180592992,0.5174943293480724
35,0.6361185983827493,0.5119349600026492
36,0.6442048517520216,0.5064280342205305
37,0.6495956873315364,0.5009574977447077
38,0.6509433962264151,0.4953224461957268
39,0.6617250673854448,0.48937810008891725
40,0.6671159029649596,0.48351810566883907
41,0.6711590296495957,0.47804657657425725
42,0.6711590296495957,0.47260723772974206
43,0.6752021563342318,0.46678603391713724
44,0.6792452830188679,0.46114235672651643
45,0.6846361185983828,0.4561946665275155
46,0.6900269541778976,0.45132393850288743
47,0.7008086253369272,0.44625738523390923
48,0.7088948787061995,0.4412709838193378
49,0.7075471698113207,0.43652756354112393
50,0.7102425876010782,0.4322423598500496
51,0.7115902964959568,0.4282051058190264
52,0.7088948787061995,0.42385067648060637
53,0.715633423180593,0.41935023358582785
54,0.7210242587601078,0.41510044853852196
55,0.7237196765498652,0.41130403517302494
56,0.7210242587601078,0.4077266040003207
57,0.7237196765498652,0.40439509718870786
58,0.72911051212938,0.40056786928287497
59,0.7318059299191375,0.39653174452087614
60,0.7318059299191375,0.3931612084573084
61,0.7331536388140162,0.38982915699781284
62,0.7425876010781671,0.38624760891865006
63,0.7493261455525606,0.3826223458310553
64,0.7533692722371967,0.37902754336429256
65,0.7547169811320755,0.37559888251856177
66,0.7641509433962265,0.37219167425833877
67,0.761455525606469,0.368861110107259
68,0.761455525606469,0.3657691581012083
69,0.7681940700808625,0.362904493793972
70,0.7776280323450134,0.35937079453005094
71,0.7857142857142857,0.3550708152282489
72,0.7897574123989218,0.3522173568135035
73,0.7870619946091644,0.35051947647016585
74,0.7911051212938005,0.34866497511617944
75,0.793800539083558,0.34615582950969764
76,0.7964959568733153,0.34385277981097
77,0.8005390835579514,0.34097990081553453
78,0.7991913746630728,0.3378152210205806
79,0.8045822102425876,0.33418921199416646
80,0.8045822102425876,0.3318947428370877
81,0.8018867924528302,0.3306716193566236
82,0.8059299191374663,0.3270921635916883
83,0.8032345013477089,0.3278396655812573
84,0.8086253369272237,0.32749243877501405
85,0.8059299191374663,0.32398810273415696
86,0.8126684636118598,0.3217821406934528
87,0.8194070080862533,0.3139247686597862
88,0.8194070080862533,0.3102906023343002
89,0.8221024258760108,0.3080844442076366
90,0.8247978436657682,0.30681493932002474
91,0.8153638814016172,0.3077041585701193
92,0.8221024258760108,0.3060864983624467
93,0.8247978436657682,0.3013728296683855
94,0.8261455525606469,0.29999427337153667
95,0.8247978436657682,0.29854058286088075
96,0.8409703504043127,0.29403992720873706
97,0.8409703504043127,0.29422397435855374
98,0.839622641509434,0.29158286739749506
99,0.8477088948787062,0.2917929382576897
100,0.8436657681940701,0.2905196855529996
101,0.8463611859838275,0.28675797309483525
102,0.8463611859838275,0.28561203854629147
103,0.8436657681940701,0.28657678122038077
104,0.8382749326145552,0.28619586849552087
105,0.8450134770889488,0.28129771559768924
106,0.8490566037735849,0.2775094477337432
107,0.8544474393530997,0.27417781131264085
108,0.8557951482479784,0.27246551556736853
109,0.8517520215633423,0.2724611685172629
110,0.8571428571428571,0.2710781919792364
111,0.8530997304582211,0.2772752775601171
112,0.8611859838274932,0.267010589741466
113,0.8584905660377359,0.2650149663402756
114,0.8611859838274932,0.26615973205481497
115,0.8611859838274932,0.26312606072875083
116,0.862533692722372,0.26035382707089605
117,0.866576819407008,0.25674796317483206
118,0.871967654986523,0.25431827239610616
119,0.8692722371967655,0.2515748707244508
120,0.8706199460916442,0.2506265935341741
121,0.871967654986523,0.2483392003539611
122,0.871967654986523,0.24895567654231907
123,0.866576819407008,0.2536795739917477
124,0.8652291105121294,0.25238043349793843
125,0.8692722371967655,0.24913215253352508
126,0.862533692722372,0.2491759673834854
127,0.8679245283018868,0.24518461411194653
128,0.8692722371967655,0.24354971327904254
129,0.8692722371967655,0.2414122156996904
