Epochs, Classification Accuracy, Training MSE
1,0.10512129380053908,0.9361267857830212
2,0.1105121293800539,0.9147243484927271
3,0.11590296495956873,0.9125372357611898
4,0.14420485175202155,0.9052515181483562
5,0.20350404312668463,0.8748881611016368
6,0.22371967654986524,0.8378832737344047
7,0.26549865229110514,0.8205379412637138
8,0.29649595687331537,0.807614528442536
9,0.3221024258760108,0.7938140451768713
10,0.3504043126684636,0.7779274481289709
11,0.37601078167115903,0.7613817202862202
12,0.3921832884097035,0.7455828793715669
13,0.4029649595687331,0.7311907475830453
14,0.4110512129380054,0.7181224254815897
15,0.42452830188679247,0.7060750638122774
16,0.431266846361186,0.6947567895706044
17,0.4420485175202156,0.6839942877168802
18,0.4568733153638814,0.6736190342551256
19,0.4757412398921833,0.6636541986623321
20,0.49326145552560646,0.6541344252443809
21,0.5053908355795148,0.6448958022600101
22,0.5161725067385444,0.6360305221524348
23,0.5242587601078167,0.627527605384674
24,0.5390835579514824,0.6192139106137552
25,0.5485175202156334,0.6107401240295769
26,0.5606469002695418,0.6024167116212983
27,0.5741239892183289,0.59427263892633
28,0.578167115902965,0.5865822973270208
29,0.5902964959568733,0.5790797999740036
30,0.6091644204851752,0.5713522941488351
31,0.6159029649595688,0.5645461497057848
32,0.6172506738544474,0.5573214346515286
33,0.6212938005390836,0.550412912043957
34,0.628032345013477,0.5434323418893163
35,0.6253369272237197,0.5381258247170901
36,0.6307277628032345,0.533584614033707
37,0.6293800539083558,0.5288074650908309
38,0.633423180592992,0.5231224312270033
39,0.6401617250673854,0.5166133223629047
40,0.6469002695417789,0.5105894184219257
41,0.6522911051212938,0.5041307163711282
42,0.6576819407008087,0.499139208541732
43,0.6549865229110512,0.494897250619221
44,0.6590296495956873,0.4905861459378771
45,0.6671159029649596,0.4869301902555422
46,0.6725067385444744,0.4847940879047667
47,0.6738544474393531,0.4816732089308853
48,0.6778975741239892,0.47784539419436306
49,0.6778975741239892,0.473024378889919
50,0.6873315363881402,0.468748066728225
51,0.6859838274932615,0.4659388815756428
52,0.6846361185983828,0.4604473600572338
53,0.6940700808625337,0.45654181939118044
