Epochs, Classification Accuracy, Training MSE
1,0.09703504043126684,0.924469369336663
2,0.1940700808625337,0.8586533514663268
3,0.25202156334231807,0.8243908572157628
4,0.29245283018867924,0.7984411137163623
5,0.33692722371967654,0.7744453231539078
6,0.3692722371967655,0.7556964455163944
7,0.3948787061994609,0.7339345563477733
8,0.4164420485175202,0.7143413132753832
9,0.45956873315363883,0.694013744549343
10,0.46765498652291104,0.6874620871229241
11,0.5026954177897575,0.6673115497906802
12,0.49865229110512127,0.6716051697751273
13,0.5053908355795148,0.6501782078172332
14,0.5107816711590296,0.638054438027748
15,0.5040431266846361,0.6544734320929945
16,0.5256064690026954,0.638019323354598
17,0.5256064690026954,0.6301328787380218
18,0.5498652291105122,0.6131775580112216
19,0.5485175202156334,0.6022260915717754
20,0.5498652291105122,0.5978525135086225
21,0.5633423180592992,0.5993349979308898
22,0.578167115902965,0.5715609804815831
23,0.5633423180592992,0.5830315397630359
24,0.5714285714285714,0.5841758711102929
25,0.5835579514824798,0.5669954367075821
26,0.5983827493261455,0.5505695696849994
27,0.5902964959568733,0.5651139647608627
28,0.5916442048517521,0.5585882282195171
29,0.6212938005390836,0.5316207159814073
30,0.5943396226415094,0.5496567268011868
31,0.6159029649595688,0.5398437322886063
32,0.6563342318059299,0.5042652529387609
33,0.5902964959568733,0.5451743021372306
34,0.6172506738544474,0.5463950747737901
35,0.6253369272237197,0.5430444364151521
36,0.6293800539083558,0.5175730825459782
37,0.623989218328841,0.5476479925004111
38,0.6226415094339622,0.5339968753653294
39,0.6522911051212938,0.5125114497727989
40,0.6361185983827493,0.5065687122604962
41,0.6549865229110512,0.5134367662764204
42,0.6495956873315364,0.5060225197181133
43,0.6145552560646901,0.5268892223954813
44,0.6617250673854448,0.4867921217314859
45,0.6590296495956873,0.48642503911272633
