Epochs, Classification Accuracy, Training MSE
1,0.12264150943396226,0.9202406811115491
2,0.2196765498652291,0.8523572328163607
3,0.2668463611859838,0.8193794926287128
4,0.29649595687331537,0.7951848827745699
5,0.33962264150943394,0.7757177141512439
6,0.3706199460916442,0.7519418539719285
7,0.38409703504043125,0.7455661163606945
8,0.4164420485175202,0.7256393485215757
9,0.431266846361186,0.7119681958576968
10,0.4123989218328841,0.7283204786429202
11,0.4137466307277628,0.7074844185548943
12,0.4366576819407008,0.7027364402381381
13,0.4555256064690027,0.6827448375535649
14,0.46900269541778977,0.6801284547027838
15,0.4919137466307278,0.6743556453308192
16,0.4797843665768194,0.6537002782599429
17,0.4946091644204852,0.6673875898774566
18,0.5026954177897575,0.6568766409764187
19,0.4919137466307278,0.6551184448423124
20,0.5080862533692723,0.6570268297092977
21,0.5188679245283019,0.6419797705177229
22,0.5148247978436657,0.6526256360867312
23,0.49056603773584906,0.663426008454211
24,0.4555256064690027,0.703526266168464
25,0.4838274932614555,0.6653994592907427
26,0.5053908355795148,0.6678243590264197
27,0.4716981132075472,0.6844479651869739
28,0.5242587601078167,0.6297797320373154
29,0.5202156334231806,0.6301973068601682
