Epochs, Classification Accuracy, Training MSE
1,0.0646900269541779,0.9710386057713701
2,0.07277628032345014,0.9120869758691644
3,0.07277628032345014,0.9120460136865752
4,0.07277628032345014,0.9120303729422282
5,0.07277628032345014,0.9120184917572857
6,0.07277628032345014,0.9120087517447408
7,0.07277628032345014,0.9120004794860997
8,0.07277628032345014,0.9119932533658345
9,0.07277628032345014,0.9119867870106194
10,0.07277628032345014,0.9119808773495949
11,0.07277628032345014,0.9119753749523398
12,0.07277628032345014,0.9119701659552787
13,0.07277628032345014,0.9119651605653658
14,0.07277628032345014,0.91196028545389
15,0.07277628032345014,0.9119554785219603
16,0.07277628032345014,0.9119506851410136
17,0.07277628032345014,0.9119458553144965
18,0.07277628032345014,0.9119409414001292
19,0.07277628032345014,0.9119358961408898
20,0.07277628032345014,0.911930670810075
21,0.07277628032345014,0.9119252132978551
22,0.07277628032345014,0.911919465959392
23,0.07547169811320754,0.9119133630061977
24,0.07547169811320754,0.9119068271421897
25,0.07681940700808626,0.911899765000344
26,0.07816711590296496,0.9118920606778642
27,0.07816711590296496,0.9118835662031726
28,0.07816711590296496,0.9118740869027475
29,0.07816711590296496,0.9118633579480864
30,0.07816711590296496,0.9118510048762984
31,0.08086253369272237,0.9118364731458601
32,0.08086253369272237,0.9118188930599667
33,0.08086253369272237,0.9117967955757643
34,0.08221024258760108,0.9117674340656949
35,0.08221024258760108,0.9117248380232077
36,0.07951482479784366,0.911652242186619
37,0.08086253369272237,0.9114653514962743
38,0.09164420485175202,0.9102033506519313
39,0.11320754716981132,0.9069520201886374
40,0.1307277628032345,0.8994158810073004
41,0.16711590296495957,0.8873419603993212
42,0.16172506738544473,0.875623787737226
43,0.15902964959568733,0.8668614306798179
44,0.15902964959568733,0.8607173351959381
45,0.16172506738544473,0.856288907009259
46,0.1711590296495957,0.8529607627591085
47,0.1778975741239892,0.8503785763304914
48,0.18059299191374664,0.8483353719121658
49,0.18194070080862534,0.8466954956710669
50,0.18598382749326145,0.8453276855875682
51,0.18328840970350405,0.8441238824036605
52,0.18059299191374664,0.843048632488835
53,0.18328840970350405,0.8420888413099517
54,0.19002695417789758,0.8412206171093438
55,0.19002695417789758,0.8404201507307688
56,0.192722371967655,0.839668084335488
57,0.19137466307277629,0.8389496808051241
58,0.19137466307277629,0.8382520905478579
59,0.19137466307277629,0.8375575751208608
60,0.192722371967655,0.8368277009907275
61,0.192722371967655,0.8359259635172527
62,0.18463611859838275,0.8346247455538124
63,0.192722371967655,0.8332579414426455
64,0.192722371967655,0.8317292573330909
65,0.1967654986522911,0.8302097661191769
66,0.20754716981132076,0.8288096376261812
67,0.21159029649595687,0.8274762777914466
68,0.2223719676549865,0.8260492961718842
69,0.2371967654986523,0.8243682773460682
70,0.2574123989218329,0.8224096799631232
71,0.2749326145552561,0.8199453481106849
72,0.284366576819407,0.8166350947731342
73,0.29110512129380056,0.8125369613391115
74,0.3032345013477089,0.8073455480974089
75,0.3086253369272237,0.801595653081296
76,0.3113207547169811,0.7958159070116323
77,0.31266846361185985,0.7901662632170354
78,0.316711590296496,0.78472608145426
79,0.3328840970350404,0.7796263239858194
80,0.33557951482479786,0.7750107019467757
81,0.33827493261455527,0.7709353333591463
82,0.3490566037735849,0.7673350922935763
83,0.353099730458221,0.7642551076127334
84,0.3557951482479784,0.7612979663031476
85,0.35444743935309975,0.7585996978206249
86,0.35983827493261455,0.7565594863052343
87,0.35983827493261455,0.7545356057032786
88,0.3638814016172507,0.752602971984676
89,0.3692722371967655,0.7507586398621298
90,0.36522911051212936,0.7489796688522948
91,0.3719676549865229,0.7471655208607644
92,0.3746630727762803,0.7446372942765259
93,0.37601078167115903,0.7427283290447091
94,0.37870619946091644,0.7411328314179737
95,0.38140161725067384,0.7396432619972928
96,0.3894878706199461,0.738263074349998
97,0.38544474393531,0.7367656384788731
98,0.3881401617250674,0.7354079007205895
99,0.38544474393531,0.7346577941466783
100,0.3881401617250674,0.7336624446868714
101,0.3881401617250674,0.732939305056523
102,0.3921832884097035,0.7319867732783695
103,0.3894878706199461,0.7313066753780599
104,0.38544474393531,0.7308221462751447
105,0.3881401617250674,0.7303932618221615
106,0.3921832884097035,0.7298188017796773
107,0.40161725067385445,0.7290845571653375
108,0.4002695417789757,0.7282477012752312
109,0.39892183288409705,0.7274235158576492
110,0.39892183288409705,0.726670414761224
111,0.4029649595687331,0.7259947012903322
112,0.4029649595687331,0.7253841264372468
113,0.40161725067385445,0.7248245207556518
114,0.4002695417789757,0.724302988065564
115,0.40161725067385445,0.723810252463285
116,0.408355795148248,0.7233412053800917
117,0.40970350404312667,0.7228934560369236
118,0.40970350404312667,0.7224655832230971
119,0.408355795148248,0.7220562121692722
120,0.408355795148248,0.7216637564438872
121,0.4110512129380054,0.7212863602775936
122,0.40970350404312667,0.7209217548742122
123,0.40431266846361186,0.7205667482872052
124,0.4029649595687331,0.7202159975158978
125,0.40161725067385445,0.7198604239651595
126,0.4029649595687331,0.7194894320537901
127,0.40161725067385445,0.7191054266409245
128,0.40161725067385445,0.718736475118889
129,0.4002695417789757,0.718409894242232
130,0.4029649595687331,0.7181228568236214
131,0.40700808625336926,0.7178627578245399
132,0.4110512129380054,0.7176256779761644
133,0.41509433962264153,0.717535782146268
134,0.4056603773584906,0.7176223475242006
135,0.4110512129380054,0.7167925455124207
136,0.4110512129380054,0.7171943999827022
137,0.41509433962264153,0.7168098057200811
138,0.41509433962264153,0.716831692844923
139,0.4164420485175202,0.716780460414529
140,0.40431266846361186,0.7173452874528168
141,0.40700808625336926,0.717545378808297
142,0.4123989218328841,0.7172386311771464
143,0.4164420485175202,0.7170931766204384
144,0.41509433962264153,0.7167165119665804
145,0.4123989218328841,0.7167672084473552
146,0.4164420485175202,0.7166416432264682
147,0.4191374663072776,0.7166302015962
148,0.41778975741239893,0.7162817054315093
149,0.42452830188679247,0.7168337388675432
150,0.41509433962264153,0.7155339777389177
151,0.4164420485175202,0.7166034364358457
152,0.41778975741239893,0.7163786733436289
153,0.4164420485175202,0.7161425084956985
154,0.42183288409703507,0.7158874686089846
155,0.42183288409703507,0.7156455705327467
156,0.41778975741239893,0.7153650711052296
157,0.4137466307277628,0.7150670653832948
158,0.4123989218328841,0.7139726577578712
159,0.41778975741239893,0.7135205163672178
160,0.4164420485175202,0.7136108070104504
161,0.4191374663072776,0.7125713953007005
162,0.42318059299191374,0.7126402317071225
163,0.41778975741239893,0.7125097967650561
164,0.41509433962264153,0.7118758576087252
165,0.41509433962264153,0.7116534766476835
166,0.41509433962264153,0.7114908069907754
167,0.4123989218328841,0.7113913274891345
168,0.4164420485175202,0.7114354788786884
169,0.41778975741239893,0.7112654659932239
170,0.42183288409703507,0.7110624697611237
171,0.42452830188679247,0.7108620244790442
172,0.42857142857142855,0.7106891020713318
173,0.4272237196765499,0.7105418513636409
174,0.4272237196765499,0.7104265488545046
175,0.4272237196765499,0.7104085590131457
176,0.42048517520215634,0.7104368641165387
177,0.4164420485175202,0.7106477834348889
178,0.42048517520215634,0.710295979493351
179,0.42048517520215634,0.7106576076981833
180,0.4164420485175202,0.7105275678161138
181,0.4191374663072776,0.7101901483474924
182,0.42452830188679247,0.7094234023073107
183,0.4299191374663073,0.7088681385712536
184,0.4272237196765499,0.7087412463489138
185,0.431266846361186,0.7085715224244105
186,0.4326145552560647,0.7083849442679508
187,0.4339622641509434,0.7082317035102682
188,0.4326145552560647,0.7081304303208364
189,0.42857142857142855,0.7081586938867035
190,0.42318059299191374,0.7087376381962436
191,0.4164420485175202,0.7090214479325414
192,0.4191374663072776,0.7086868710622364
193,0.42318059299191374,0.7086442640938909
194,0.42452830188679247,0.7083429627143731
195,0.42452830188679247,0.7084238028260248
196,0.42452830188679247,0.7081360647449494
197,0.42857142857142855,0.7076767923305616
