Epochs, Classification Accuracy, Training MSE
1,0.08221024258760108,0.9322427963477076
2,0.08355795148247978,0.9167476087330799
3,0.08086253369272237,0.9163615953777144
4,0.07816711590296496,0.9160113409497331
5,0.07547169811320754,0.9156862506723636
6,0.07547169811320754,0.9153795503602028
7,0.07547169811320754,0.9150878035525782
8,0.07681940700808626,0.9148108331356309
9,0.07412398921832884,0.9145506862931647
10,0.07816711590296496,0.9143094219433324
11,0.07547169811320754,0.9140869921241853
12,0.07816711590296496,0.9138805431269931
13,0.07547169811320754,0.9136850750736177
14,0.07277628032345014,0.9134943584848789
15,0.07412398921832884,0.9133010770364253
16,0.07547169811320754,0.9130956165770078
17,0.07681940700808626,0.912862909695119
18,0.08355795148247978,0.9125756448325923
19,0.0889487870619946,0.9121785152255963
20,0.09703504043126684,0.9115463824875496
21,0.1105121293800539,0.9103539505044845
22,0.1293800539083558,0.9075778460276391
23,0.15902964959568733,0.8990474898101345
24,0.1940700808625337,0.86963988156942
25,0.21428571428571427,0.833888166019556
26,0.24663072776280323,0.8204034032575022
27,0.24932614555256064,0.813495858607944
28,0.2587601078167116,0.8085037752242956
29,0.2587601078167116,0.8041739431841328
30,0.27088948787061995,0.7999720082340965
31,0.27358490566037735,0.795673254406182
32,0.2816711590296496,0.7910642928410812
33,0.29514824797843664,0.7860257148241445
34,0.30997304582210244,0.7806013946129288
35,0.3194070080862534,0.7749743121812329
36,0.3328840970350404,0.769367199650604
37,0.33962264150943394,0.7639428484889002
38,0.3490566037735849,0.7587641979184399
39,0.35444743935309975,0.7538040856038292
40,0.35983827493261455,0.7489760266591434
41,0.36253369272237196,0.7441762528411905
42,0.3665768194070081,0.7393288064217121
43,0.3746630727762803,0.7344140490778175
44,0.37331536388140163,0.7294688520966112
45,0.37870619946091644,0.7245640360078661
46,0.38274932614555257,0.7197698785480089
47,0.3935309973045822,0.7151196082750725
48,0.3975741239892183,0.7105715915315399
49,0.4056603773584906,0.7060125911992878
50,0.4137466307277628,0.7016507775191061
51,0.41509433962264153,0.6974145621313158
52,0.42183288409703507,0.6931419245964122
53,0.42587601078167114,0.6886905255941373
54,0.44339622641509435,0.6838696742922844
55,0.45956873315363883,0.6783684384534825
56,0.48517520215633425,0.6716542534898801
57,0.49865229110512127,0.6628112484375865
58,0.5202156334231806,0.6506074234223862
59,0.532345013477089,0.6351122777385843
60,0.5498652291105122,0.6194909596209506
61,0.5579514824797843,0.6073903330911989
62,0.5700808625336927,0.59819412693769
63,0.5795148247978437,0.5904189882197405
64,0.578167115902965,0.5830682728121822
65,0.5929919137466307,0.5755749423552006
66,0.5970350404312669,0.5683670146964921
67,0.5983827493261455,0.5616301664510256
68,0.5956873315363881,0.5553769815917896
69,0.6024258760107817,0.5493725704557687
70,0.605121293800539,0.543637706225303
71,0.6024258760107817,0.5384098734057329
72,0.6078167115902965,0.5336798450890297
73,0.6159029649595688,0.5280148957751161
74,0.6226415094339622,0.5224090703534873
75,0.6226415094339622,0.5160868283019969
76,0.6347708894878706,0.5081177749598521
77,0.6401617250673854,0.5046349558540557
78,0.6347708894878706,0.49730193326783734
79,0.6415094339622641,0.4935781442588132
80,0.6576819407008087,0.4855524306212735
81,0.660377358490566,0.48091736684634173
82,0.6563342318059299,0.4817838524487107
83,0.6644204851752021,0.46851982141018633
84,0.6765498652291105,0.4612356993697313
85,0.6805929919137467,0.45695816843258924
86,0.6886792452830188,0.44757396242419883
87,0.6886792452830188,0.446446689504205
88,0.6954177897574124,0.4381489964204605
89,0.7008086253369272,0.43153249462991566
90,0.6994609164420486,0.4252548880696573
91,0.7115902964959568,0.4184342926056007
92,0.7115902964959568,0.4160932088503709
93,0.7115902964959568,0.41566569109380336
94,0.7250673854447439,0.4055085907854908
95,0.7264150943396226,0.40547853052252153
96,0.7264150943396226,0.39358316839930374
97,0.7345013477088949,0.3942782671287253
98,0.7506738544474394,0.37963640520386305
99,0.7439353099730458,0.38345471185376656
100,0.7358490566037735,0.37707828122474896
101,0.7493261455525606,0.3738948757203747
102,0.761455525606469,0.36206657677138415
103,0.7601078167115903,0.3591258401528686
104,0.7439353099730458,0.35567463691111656
