
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9267424892695277,0.06854838709677419
2,0.9115559278497565,0.06854838709677419
3,0.8766089862616617,0.14112903225806453
4,0.8294612253929473,0.14112903225806453
5,0.8103331998085874,0.21774193548387097
6,0.793673230547423,0.2782258064516129
7,0.7767400640771528,0.3548387096774194
8,0.7607716013442246,0.375
9,0.7461522257055988,0.39919354838709675
10,0.7328096314972573,0.4274193548387097
11,0.720590033874082,0.45161290322580644
12,0.7091402220991925,0.4717741935483871
13,0.6978797756835227,0.5040322580645161
14,0.6865711721338524,0.5040322580645161
15,0.6753282652586484,0.5201612903225806
16,0.6641443136412463,0.5403225806451613
17,0.6532664279799043,0.5403225806451613
18,0.6428403302268523,0.5443548387096774
19,0.6327751869878023,0.5443548387096774
20,0.6230633537676483,0.5524193548387096
21,0.6138047246107037,0.5604838709677419
22,0.6050735281398191,0.5846774193548387
23,0.596856930890352,0.5806451612903226
24,0.5890693506471165,0.5887096774193549
25,0.5815566066851064,0.6008064516129032
26,0.5742214485755778,0.6048387096774194
27,0.567059481470777,0.6088709677419355
28,0.5600117517656141,0.6088709677419355
29,0.5530349908971657,0.6169354838709677
30,0.5461356370649549,0.6129032258064516
31,0.5392990492199249,0.6169354838709677
32,0.532521833799652,0.6129032258064516
33,0.5257884927659692,0.6169354838709677
34,0.5190174780329094,0.6209677419354839
35,0.5121135111397671,0.6209677419354839
36,0.505364632146524,0.6129032258064516
37,0.49880674520304974,0.6129032258064516
38,0.4923677108415136,0.6129032258064516
39,0.48595423484315864,0.6169354838709677
40,0.4795134603042194,0.6290322580645161
41,0.47312107213278226,0.625
42,0.46685572514479867,0.6290322580645161
43,0.4607235423366192,0.6370967741935484
44,0.45457932274603696,0.6370967741935484
45,0.44856979990571605,0.6451612903225806
46,0.44289364378328705,0.6532258064516129
47,0.4373432296948175,0.6532258064516129
48,0.43180565425985484,0.6612903225806451
49,0.42630682927037067,0.6612903225806451
50,0.4208347246960934,0.6693548387096774
51,0.41533371010199976,0.6814516129032258
52,0.40981362878657457,0.6854838709677419
53,0.40438823152458747,0.6935483870967742
54,0.3992447372366222,0.6935483870967742
55,0.39440712584212756,0.6975806451612904
56,0.3897546652009168,0.6975806451612904
57,0.38522750594420524,0.7016129032258065
58,0.3808780169805263,0.7016129032258065
59,0.37667793435731844,0.6975806451612904
60,0.37265761891873117,0.6935483870967742
61,0.36881277714253197,0.7056451612903226
62,0.3650295527227736,0.7096774193548387
63,0.3610803985723534,0.7096774193548387
64,0.35658378574605337,0.7137096774193549
65,0.35256176537643047,0.7137096774193549
66,0.3485284381284834,0.717741935483871
67,0.3468533488446019,0.7258064516129032
68,0.34337649094069844,0.7338709677419355
69,0.3387028603326506,0.7298387096774194
70,0.334216916716718,0.7338709677419355
71,0.3304873247546648,0.7298387096774194
72,0.3270632795970863,0.7298387096774194
73,0.32337890281065534,0.7298387096774194
74,0.3190048024117698,0.7419354838709677
75,0.3146227269178069,0.75
76,0.3103590112487639,0.75
77,0.30637047233875947,0.7580645161290323
78,0.3026294303370078,0.7540322580645161
79,0.2990720913146827,0.7540322580645161
80,0.2954626462829756,0.7620967741935484
81,0.2917680572317239,0.7701612903225806
82,0.2889034235671419,0.7741935483870968
83,0.285575551227227,0.7782258064516129
84,0.28157622586514214,0.782258064516129
85,0.27820988051707585,0.7862903225806451
86,0.2744648719461335,0.7862903225806451
87,0.26998547834711684,0.7903225806451613
88,0.2669112532000685,0.7943548387096774
89,0.26310753476916904,0.7983870967741935
90,0.25927465967565716,0.7983870967741935
91,0.25534144916102464,0.7983870967741935
92,0.25166172021139116,0.7983870967741935
93,0.24828704483995462,0.8064516129032258
94,0.2450164752217516,0.8064516129032258
95,0.24155411233137045,0.8024193548387096
96,0.238077419636719,0.8024193548387096
97,0.2347729810853324,0.7983870967741935
98,0.23169853799625847,0.7983870967741935
99,0.2288325513816062,0.7983870967741935
100,0.2265063086341627,0.8024193548387096
101,0.22441358477826093,0.8064516129032258
102,0.22270439508280893,0.8104838709677419
103,0.22102217311980651,0.8064516129032258
104,0.22002248208991396,0.8024193548387096
105,0.2170755634843948,0.7983870967741935
106,0.21518757021770984,0.7983870967741935
107,0.213426078990374,0.7943548387096774
108,0.21120250491819745,0.7983870967741935
109,0.20910600662307657,0.7983870967741935
110,0.20706470964988785,0.8024193548387096
111,0.20535591379351123,0.8024193548387096
112,0.20355454696111105,0.8024193548387096
113,0.20041956133090655,0.8024193548387096
114,0.19542598934804362,0.7983870967741935
115,0.19727376012644113,0.7903225806451613
