
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9277535888940545,0.11290322580645161
2,0.9088136439580778,0.1975806451612903
3,0.8641880629507608,0.1814516129032258
4,0.8246426674505841,0.2217741935483871
5,0.8063723316215919,0.3064516129032258
6,0.787069504220226,0.2903225806451613
7,0.7653410526473167,0.29435483870967744
8,0.7443216921782565,0.3064516129032258
9,0.7254108539726011,0.3346774193548387
10,0.7092298627030815,0.36693548387096775
11,0.6955334708308144,0.3790322580645161
12,0.68336921057365,0.38306451612903225
13,0.6720890053941427,0.3870967741935484
14,0.661393468395127,0.3870967741935484
15,0.6511665241044493,0.40725806451612906
16,0.6413948143521028,0.4153225806451613
17,0.6317645126412854,0.42338709677419356
18,0.6223573656908977,0.4314516129032258
19,0.613336591052948,0.4314516129032258
20,0.6046367187128994,0.43951612903225806
21,0.5962455435049077,0.4717741935483871
22,0.5881576606572603,0.4717741935483871
23,0.5803570604722921,0.4959677419354839
24,0.5728222043980242,0.5040322580645161
25,0.5655274712059304,0.5120967741935484
26,0.5584415474151087,0.5241935483870968
27,0.5515294092455661,0.5443548387096774
28,0.54476752654878,0.5685483870967742
29,0.5381615328992934,0.5725806451612904
30,0.5317360801988693,0.5766129032258065
31,0.5255073596719354,0.5725806451612904
32,0.5194738316450102,0.5846774193548387
33,0.5136243271777277,0.6088709677419355
34,0.5079312306278346,0.6088709677419355
35,0.502200607690177,0.6169354838709677
36,0.4961900106425667,0.625
37,0.49014757080808663,0.6290322580645161
38,0.48422689466609414,0.6370967741935484
39,0.47852237857773555,0.6330645161290323
40,0.47376806028887863,0.6451612903225806
41,0.4687590933503854,0.6451612903225806
42,0.4636124675012517,0.6491935483870968
43,0.4584682226775864,0.6491935483870968
44,0.4534521604909668,0.6612903225806451
45,0.44848581307001123,0.6653225806451613
46,0.44335080614219546,0.6774193548387096
47,0.43797801731427155,0.6854838709677419
48,0.4327091208215356,0.6895161290322581
49,0.42766228318455923,0.6854838709677419
50,0.4228587538764148,0.6854838709677419
51,0.4181787234157583,0.6854838709677419
52,0.4134835851529763,0.6854838709677419
53,0.40875407954412657,0.6895161290322581
54,0.40400343296803587,0.7016129032258065
55,0.39925154584420935,0.717741935483871
56,0.39454446038861385,0.7298387096774194
57,0.3898841692109461,0.7298387096774194
58,0.3852311028559934,0.7298387096774194
59,0.380582306650646,0.7379032258064516
60,0.3759769975442202,0.7258064516129032
61,0.3714499639136512,0.7258064516129032
62,0.36702354426722955,0.7379032258064516
63,0.36270060103770196,0.7419354838709677
64,0.35851615185371805,0.75
65,0.3547714436082696,0.7459677419354839
66,0.35118419183400196,0.7459677419354839
67,0.34739092633959945,0.7459677419354839
68,0.34350908160701565,0.75
69,0.339591521924145,0.75
70,0.33571983633035823,0.75
71,0.3319879611886362,0.7459677419354839
72,0.3283522926181275,0.7540322580645161
73,0.3247568160114227,0.75
74,0.3212034536582023,0.7459677419354839
75,0.3176290622259481,0.75
76,0.31412531909680935,0.7580645161290323
77,0.3108359409095211,0.7580645161290323
78,0.30760841322127713,0.7540322580645161
79,0.30404455899009025,0.7620967741935484
80,0.3000323409806501,0.7661290322580645
81,0.2956038760573984,0.7741935483870968
82,0.2926050644721128,0.7701612903225806
83,0.29022282693945123,0.7741935483870968
84,0.2850316180475825,0.7782258064516129
85,0.2818395965262898,0.7862903225806451
86,0.27945960671924314,0.7903225806451613
87,0.2755814913188253,0.8064516129032258
88,0.27238366938945785,0.8145161290322581
89,0.27154666590923715,0.8145161290322581
90,0.26933780396472834,0.8225806451612904
91,0.2663013425055876,0.8225806451612904
92,0.26301487398350126,0.8346774193548387
93,0.2604234342823634,0.842741935483871
94,0.2576696924171723,0.8508064516129032
95,0.2542446543682781,0.8467741935483871
96,0.25089156980714883,0.842741935483871
97,0.2469364559373173,0.8145161290322581
98,0.2432949450041079,0.8266129032258065
99,0.23961393478993978,0.8145161290322581
100,0.23775872063850167,0.8225806451612904
101,0.23489214809502604,0.8145161290322581
102,0.23064223290740585,0.8346774193548387
103,0.22944904703163624,0.8346774193548387
104,0.22567268020097883,0.842741935483871
105,0.22502989731922277,0.8508064516129032
106,0.22494912906843445,0.8508064516129032
107,0.22105487612804195,0.8467741935483871
108,0.21966977535941032,0.842741935483871
109,0.2182740479826964,0.8508064516129032
110,0.21448260678230022,0.8588709677419355
111,0.21257457794090498,0.8548387096774194
112,0.21013225661395313,0.8709677419354839
113,0.20717600560102967,0.8588709677419355
114,0.20773385123983018,0.8548387096774194
115,0.20270837213054732,0.8467741935483871
116,0.20057771014113962,0.8548387096774194
117,0.19768894602805526,0.8508064516129032
118,0.1916665981359948,0.8225806451612904
119,0.1855423159873535,0.8306451612903226
120,0.18353086867171745,0.8387096774193549
121,0.1796889711062134,0.8387096774193549
122,0.1774865559897151,0.8387096774193549
123,0.17570780283201118,0.8387096774193549
124,0.17463281286882767,0.842741935483871
125,0.1738532788714847,0.8306451612903226
126,0.17097270126461753,0.842741935483871
127,0.16836715089249613,0.8346774193548387
128,0.16693620174738444,0.8387096774193549
129,0.16381300617251135,0.842741935483871
130,0.16164191027696123,0.8387096774193549
131,0.16018316230464708,0.8346774193548387
132,0.16184643399843773,0.8467741935483871
133,0.16034923477244606,0.842741935483871
134,0.16199580961015245,0.842741935483871
135,0.16543171067623424,0.8467741935483871
136,0.1637366025935963,0.8548387096774194
137,0.1647235554582403,0.8508064516129032
138,0.1584499278751929,0.8508064516129032
139,0.15821801803221724,0.8508064516129032
140,0.15583221794080046,0.8508064516129032
141,0.15397732510844528,0.842741935483871
142,0.1510051622201363,0.8548387096774194
143,0.14394924784231228,0.8508064516129032
144,0.14272101554582495,0.8629032258064516
