
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9265962748857685,0.0846774193548387
2,0.9100722008684319,0.09274193548387097
3,0.8800165529437429,0.17338709677419356
4,0.8336281793264864,0.2661290322580645
5,0.8071831234311332,0.31048387096774194
6,0.7828060650274185,0.3185483870967742
7,0.7607411538295106,0.3346774193548387
8,0.7425580475340603,0.3467741935483871
9,0.7273939830393803,0.38306451612903225
10,0.7140571748378303,0.39919354838709675
11,0.7018889480682624,0.4274193548387097
12,0.6905144992002135,0.41935483870967744
13,0.6796869709757156,0.4274193548387097
14,0.6691901683567645,0.43951612903225806
15,0.6588248958639894,0.45564516129032256
16,0.6484698702404104,0.46774193548387094
17,0.6381047686094476,0.4838709677419355
18,0.6277998490313785,0.4879032258064516
19,0.6176843220708439,0.4879032258064516
20,0.6079024182613961,0.49193548387096775
21,0.5985217967756988,0.5161290322580645
22,0.589544289896576,0.532258064516129
23,0.5809645371083342,0.5403225806451613
24,0.5727825481912648,0.5483870967741935
25,0.5649481796287001,0.5524193548387096
26,0.5573785517002218,0.5483870967741935
27,0.549996018971654,0.5604838709677419
28,0.5427194975083476,0.5725806451612904
29,0.5354544616530977,0.5846774193548387
30,0.5281320449342989,0.592741935483871
31,0.5207453944115031,0.6048387096774194
32,0.5133689889165266,0.6129032258064516
33,0.506124099945621,0.6370967741935484
34,0.49904688185262325,0.6411290322580645
35,0.4921281709462171,0.6532258064516129
36,0.48539016862998796,0.6653225806451613
37,0.47884644409896016,0.6733870967741935
38,0.47253392433690705,0.6774193548387096
39,0.46647896327150357,0.6693548387096774
40,0.4605442664586883,0.6854838709677419
41,0.4546511630093256,0.6854838709677419
42,0.4490551097884046,0.6895161290322581
43,0.4436450036740941,0.6975806451612904
44,0.43853456975984395,0.7056451612903226
45,0.4340259190263275,0.7056451612903226
46,0.4295761062007831,0.7016129032258065
47,0.42474157799759255,0.6975806451612904
48,0.4199237302000194,0.6975806451612904
49,0.4152545197364496,0.6975806451612904
50,0.4107263952122927,0.6975806451612904
51,0.4063225462987532,0.7056451612903226
52,0.402021576080131,0.7056451612903226
53,0.39782870199234927,0.717741935483871
54,0.39376418942269154,0.7217741935483871
55,0.38983816704129937,0.7258064516129032
56,0.3860049660100336,0.7217741935483871
57,0.38220152136473845,0.7217741935483871
58,0.3784756785588395,0.7217741935483871
59,0.37491752526123295,0.7217741935483871
60,0.3714281149759454,0.7217741935483871
61,0.3677588540719301,0.7258064516129032
62,0.36375398206976683,0.7298387096774194
63,0.3595834404482539,0.7379032258064516
64,0.35568873362393194,0.7419354838709677
65,0.35209099807030775,0.7379032258064516
66,0.3482450580226376,0.7379032258064516
67,0.3444237436056476,0.7379032258064516
68,0.34077739880577684,0.7298387096774194
69,0.33719875542421185,0.7298387096774194
70,0.3336033666890756,0.7298387096774194
71,0.33001974981990745,0.7258064516129032
72,0.32637386373561256,0.7298387096774194
73,0.3232355557024968,0.7338709677419355
74,0.3196546825425641,0.7338709677419355
75,0.315654887964312,0.7379032258064516
76,0.31174951308673815,0.7419354838709677
77,0.3079885491745811,0.7459677419354839
78,0.30432390265520953,0.75
79,0.300634730796946,0.7540322580645161
80,0.2967831599775009,0.7580645161290323
81,0.29285767629340054,0.7620967741935484
82,0.2890116137410633,0.7620967741935484
83,0.2852992345504894,0.7580645161290323
84,0.281689104319564,0.7620967741935484
85,0.2780953416456869,0.7661290322580645
86,0.27442536746006174,0.7661290322580645
87,0.2699656631441729,0.7661290322580645
88,0.2658410864997436,0.7580645161290323
89,0.26319988808577216,0.7540322580645161
90,0.2603114471797099,0.7540322580645161
91,0.25735364279488837,0.7540322580645161
92,0.25444491973197975,0.7620967741935484
93,0.2515645678708406,0.7580645161290323
94,0.24871726068234754,0.7580645161290323
95,0.24583268533459354,0.7540322580645161
96,0.2429220216503948,0.7620967741935484
97,0.24014638584053014,0.7661290322580645
98,0.2376032208572939,0.7701612903225806
99,0.23528439964917972,0.7701612903225806
100,0.23306986697807733,0.7701612903225806
101,0.23086528784381644,0.7701612903225806
102,0.2286571510456467,0.7701612903225806
103,0.22643835517574484,0.7580645161290323
104,0.2241912184352211,0.7661290322580645
