
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9293361111601027,0.12096774193548387
2,0.9104571485299846,0.10887096774193548
3,0.8705191520945041,0.1774193548387097
4,0.830854621497119,0.24596774193548387
5,0.811476348651832,0.2782258064516129
6,0.7926308997620022,0.29435483870967744
7,0.7738791934593283,0.32661290322580644
8,0.7569418505055935,0.35080645161290325
9,0.7416506476011432,0.3709677419354839
10,0.727525869960265,0.39919354838709675
11,0.7145695778778538,0.43548387096774194
12,0.702570830114675,0.4314516129032258
13,0.69119130974416,0.41935483870967744
14,0.6802559319415207,0.41935483870967744
15,0.6696672148843078,0.4274193548387097
16,0.6593456838628154,0.43951612903225806
17,0.6492140002377447,0.43951612903225806
18,0.6391880263667913,0.4475806451612903
19,0.6292160594028929,0.46774193548387094
20,0.6193236806695362,0.4798387096774194
21,0.6095883265390625,0.49193548387096775
22,0.6000927888629711,0.5161290322580645
23,0.5909158538808755,0.5241935483870968
24,0.5821063920169827,0.532258064516129
25,0.5736213897163667,0.5282258064516129
26,0.5654045548951848,0.532258064516129
27,0.5575769424023638,0.5483870967741935
28,0.5500977576634397,0.5524193548387096
29,0.5430139557757682,0.5524193548387096
30,0.5362388629371281,0.5604838709677419
31,0.5297468251778247,0.5564516129032258
32,0.5235973217673994,0.5564516129032258
33,0.5177074227357167,0.5604838709677419
34,0.5118599257698682,0.5725806451612904
35,0.5059601218191248,0.5846774193548387
36,0.5001901102859686,0.5887096774193549
37,0.49464539407834035,0.592741935483871
38,0.4889809637553602,0.592741935483871
39,0.48348034557327135,0.5967741935483871
40,0.4782085100717887,0.592741935483871
41,0.47290051783709147,0.592741935483871
42,0.46744259414155775,0.5887096774193549
43,0.46185101455797556,0.5887096774193549
44,0.456273883761233,0.592741935483871
45,0.45073561930883854,0.5967741935483871
46,0.4453399676502204,0.6048387096774194
47,0.44008335246369723,0.6008064516129032
48,0.43489319754541145,0.6048387096774194
49,0.42982073957201994,0.6129032258064516
50,0.42489932552994086,0.6209677419354839
51,0.4201043295236105,0.625
52,0.415390726000678,0.6290322580645161
53,0.41073094085552375,0.6290322580645161
54,0.4061306490678667,0.6370967741935484
55,0.4016242055872227,0.6370967741935484
56,0.39729332203540707,0.6411290322580645
57,0.39318837197355505,0.6411290322580645
58,0.38919422623216343,0.6451612903225806
59,0.38522750403671496,0.657258064516129
60,0.38133722804122455,0.6693548387096774
61,0.377525622008934,0.6693548387096774
62,0.3737284791786517,0.6733870967741935
63,0.3698121730485391,0.6693548387096774
64,0.365685645576837,0.6814516129032258
65,0.36154314112598845,0.6814516129032258
66,0.3575104470598902,0.6733870967741935
67,0.3534070639819682,0.6774193548387096
68,0.3490110856066191,0.6895161290322581
69,0.34449385430687696,0.7016129032258065
70,0.3395979148235989,0.7016129032258065
71,0.33509530894051615,0.7056451612903226
72,0.3301081154542496,0.717741935483871
73,0.32543957993471206,0.7217741935483871
74,0.32117274649912403,0.7217741935483871
75,0.31670543562185643,0.717741935483871
76,0.3119447509355236,0.7137096774193549
77,0.3069882127871102,0.7056451612903226
78,0.3024959235671091,0.7016129032258065
79,0.29824181573901326,0.7096774193548387
80,0.2940312366920352,0.7137096774193549
81,0.2899180187913375,0.717741935483871
82,0.2859865521967004,0.717741935483871
83,0.2822475011085476,0.7217741935483871
84,0.2786807988387071,0.717741935483871
85,0.27528771613796754,0.7217741935483871
86,0.27215982853575044,0.7217741935483871
87,0.26940366445383235,0.7217741935483871
88,0.2667699304932911,0.7217741935483871
89,0.26423932891287644,0.7217741935483871
90,0.2620466938729718,0.7217741935483871
91,0.26009921358525523,0.7217741935483871
92,0.2580281282579239,0.717741935483871
93,0.254779790586916,0.7096774193548387
94,0.2516569317423515,0.6935483870967742
95,0.2483182747775595,0.7217741935483871
96,0.24664782370107607,0.7298387096774194
97,0.24390701291225303,0.7258064516129032
98,0.24148515255878125,0.7379032258064516
99,0.23896286302223638,0.7379032258064516
100,0.2366228954421534,0.7419354838709677
101,0.23428660483075434,0.7459677419354839
102,0.23186397923004692,0.7459677419354839
103,0.2294124636043586,0.75
104,0.227237555554045,0.7580645161290323
105,0.22560503739223486,0.7620967741935484
106,0.22338692303075355,0.7620967741935484
107,0.22076136111317907,0.7620967741935484
108,0.21833933941177838,0.7661290322580645
109,0.2158383372414645,0.7620967741935484
110,0.21335441402658656,0.7620967741935484
111,0.21074947614685305,0.7701612903225806
112,0.2085633949744018,0.7701612903225806
113,0.2067106437657497,0.7741935483870968
114,0.20372249570222734,0.7741935483870968
115,0.20155284534739668,0.782258064516129
116,0.19967730228749014,0.7862903225806451
117,0.19802801772988876,0.7983870967741935
118,0.19623230018724044,0.8024193548387096
119,0.19456674505880886,0.7943548387096774
120,0.19287255477863446,0.8024193548387096
121,0.1914038700670553,0.7943548387096774
122,0.19023071024226376,0.7983870967741935
123,0.18932446906674646,0.8024193548387096
124,0.18821819525641276,0.8024193548387096
125,0.18701269319733763,0.8024193548387096
126,0.18578541250459268,0.8024193548387096
