
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,8,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.944439224062482,0.08870967741935484
2,0.9161940449733499,0.08870967741935484
3,0.9158669812396879,0.08870967741935484
4,0.9156219145753028,0.08870967741935484
5,0.9152776735862016,0.08870967741935484
6,0.9141988274059689,0.08870967741935484
7,0.9127418805647063,0.10483870967741936
8,0.9106125442729819,0.12096774193548387
9,0.9063862158468446,0.14112903225806453
10,0.8969055617054401,0.16129032258064516
11,0.8800394445733754,0.22983870967741934
12,0.86317033140656,0.23790322580645162
13,0.8496540174220298,0.24596774193548387
14,0.839140294144905,0.2540322580645161
15,0.8308298589341322,0.2661290322580645
16,0.8220230227208277,0.27419354838709675
17,0.8126886374169078,0.2701612903225806
18,0.8024404073419054,0.2661290322580645
19,0.7913494229997811,0.2782258064516129
20,0.7802083805514325,0.28225806451612906
21,0.7699189180525008,0.3064516129032258
22,0.7607500806462295,0.31048387096774194
23,0.7524497706900993,0.31451612903225806
24,0.7446350708103222,0.3225806451612903
25,0.7371445639271405,0.3346774193548387
26,0.7299294044051268,0.34274193548387094
27,0.7228100255369928,0.3790322580645161
28,0.7158163802970252,0.4112903225806452
29,0.7089364756400881,0.4274193548387097
30,0.7021776705365097,0.43548387096774194
31,0.6960225771573969,0.45564516129032256
32,0.6900230322309646,0.49193548387096775
33,0.6838440278603755,0.5040322580645161
34,0.6779545961588447,0.5241935483870968
35,0.6730353828326319,0.6008064516129032
36,0.667011268214636,0.5967741935483871
37,0.6622849707219449,0.5685483870967742
38,0.6553760476376924,0.5645161290322581
39,0.6492713573746186,0.5645161290322581
40,0.6441758992077956,0.5645161290322581
41,0.638903843705047,0.5604838709677419
42,0.6335194799027324,0.5524193548387096
43,0.6284450050700359,0.5443548387096774
44,0.6253539827966265,0.5645161290322581
45,0.620237657596988,0.5483870967741935
46,0.615517115826183,0.5685483870967742
47,0.6096306090696704,0.5564516129032258
48,0.6065613128567073,0.5403225806451613
49,0.6053563080729328,0.5564516129032258
50,0.6020924139602803,0.5524193548387096
51,0.6002188710633972,0.5443548387096774
52,0.5977729275233431,0.5483870967741935
53,0.5950392994337405,0.5604838709677419
54,0.5955187243729851,0.5362903225806451
55,0.5926488395308558,0.5645161290322581
56,0.5872363713733579,0.5564516129032258
57,0.589447537728317,0.5604838709677419
58,0.586152215066751,0.5483870967741935
59,0.5850225595395558,0.5241935483870968
60,0.5854289912018094,0.5846774193548387
61,0.5817995791081247,0.5766129032258065
62,0.5757439074122822,0.5806451612903226
63,0.5741655354844253,0.5483870967741935
64,0.5714305525807929,0.5604838709677419
65,0.575187320005959,0.5483870967741935
66,0.5689992311659163,0.5604838709677419
67,0.5731897300965533,0.5282258064516129
68,0.56577281000525,0.5887096774193549
69,0.568442292216632,0.5685483870967742
70,0.5643921542642727,0.5483870967741935
71,0.5646811886089409,0.5483870967741935
72,0.5635497158232934,0.5
73,0.5593355481163066,0.5483870967741935
74,0.5593202361679073,0.5483870967741935
75,0.5558020398091919,0.5282258064516129
76,0.5520346417944073,0.5161290322580645
77,0.5458232285582557,0.5604838709677419
78,0.5474887941420404,0.5524193548387096
79,0.5415321092424792,0.5604838709677419
80,0.5414714686095035,0.5241935483870968
81,0.5379420273463815,0.5443548387096774
82,0.5402191651656251,0.5362903225806451
83,0.5368802947088186,0.5161290322580645
84,0.5395950299285467,0.5201612903225806
85,0.5370500956447576,0.5403225806451613
86,0.5371973661095362,0.5403225806451613
87,0.5357289620635374,0.5443548387096774
88,0.5309680738957473,0.5201612903225806
89,0.5284903374777941,0.5483870967741935
90,0.5286132085324392,0.5362903225806451
91,0.5251534462147076,0.5362903225806451
